附录:常用命令
docker-compose up -d xxx	构建启动xxx容器
docker-compose exec xxx bash	登录到xxx容器中
docker-compose down	停下清除所有容器
docker-compose ps	显示所有容器
docker-compose restart xxx	重新启动nginx容器
docker-compose build xxx	构建镜像
docker-compose build --no-cache xxx	不带缓存的构建
docker-compose logs -f 	查看所有容器服务日志
docker-compose logs  xxx	查看xxx的日志
docker-compose logs -f xxx	查看xxx的实时日志
docker-compose config  -q	验证文件配置,输出错误信息。
docker-compose events --json xxx	以json的形式输出xxx的docker日志
docker-compose pause xxx	暂停xxx容器
docker-compose unpause xxx	恢复xxx容器
docker-compose rm xxx	删除容器
docker-compose stop xxx	停止xxx容器
docker-compose start xxx	启动xxx容器
