指令码	助记符	功能描述
0x00	nop	无操作
0x01	aconst_null	指令格式：aconst_null 功能描述：null进栈。注意：JVM并没有为null指派一个具体的值。
0x02	iconst_m1	int型常量值-1进栈
0x03	iconst_0	int型常量值0进栈
0x04	iconst_1	int型常量值1进栈
0x05	iconst_2	int型常量值2进栈
0x06	iconst_3	int型常量值3进栈
0x07	iconst_4	int型常量值4进栈
0x08	iconst_5	int型常量值5进栈
0x09	lconst_0	long型常量值0进栈
0x0A	lconst_1	long型常量值1进栈
0x0B	fconst_0	float型常量值0进栈
0x0C	fconst_1	float型常量值1进栈
0x0D	fconst_2	float型常量值2进栈
0x0E	dconst_0	double型常量值0进栈
0x0F	dconst_1	double型常量值1进栈
0x10	bipush	将一个byte型常量值推送至栈顶
0x11	sipush	将一个short型常量值推送至栈顶
0x12	ldc	将int、float或String型常量值从常量池中推送至栈顶
0x13	ldc_w	将int、float或String型常量值从常量池中推送至栈顶（宽索引）
0x14	ldc2_w	将long或double型常量值从常量池中推送至栈顶（宽索引）
0x15	iload	指定的int型局部变量进栈
0x16	lload	指定的long型局部变量进栈
0x17	fload	指定的float型局部变量进栈
0x18	dload	指定的double型局部变量进栈
0x19	aload	指令格式：aload index。功能描述：当前frame的局部变量数组中下标为 index 的引用型局部变量进栈。index：无符号一byte整型。和wide指令联用，可以使index为两byte。
0x1A	iload_0	第一个int型局部变量进栈
0x1B	iload_1	第二个int型局部变量进栈
0x1C	iload_2	第三个int型局部变量进栈
0x1D	iload_3	第四个int型局部变量进栈
0x1E	lload_0	第一个long型局部变量进栈
0x1F	lload_1	第二个long型局部变量进栈
0x20	lload_2	第三个long型局部变量进栈
0x21	lload_3	第四个long型局部变量进栈
0x22	fload_0	第一个float型局部变量进栈
0x23	fload_1	第二个float型局部变量进栈
0x24	fload_2	第三个float型局部变量进栈
0x25	fload_3	第四个float型局部变量进栈
0x26	dload_0	第一个double型局部变量进栈
0x27	dload_1	第二个double型局部变量进栈
0x28	dload_2	第三个double型局部变量进栈
0x29	load_3	第四个double型局部变量进栈
0x2A	aload_0	指令格式：aload_0 指令的行为类似于aload指令index为0的情况。
0x2B	aload_1	同上
0x2C	aload_2	同上
0x2D	aload_3	同上
0x2E	iaload	指定的int型数组的指定下标处的值进栈
0x2F	laload	指定的long型数组的指定下标处的值进栈
0x30	faload	指定的float型数组的指定下标处的值进栈
0x31	daload	指定的double型数组的指定下标处的值进栈
0x32	aaload	指令格式：aaload 功能描述：栈顶的数组下标（index）、数组引用（arrayref）出栈，并根据这两个数值取出对应的数组元素值（value）进栈。抛出异常：如果arrayref的值为null，会抛出 ullPointerException。如果index造成数组越界，会抛出 rrayIndexOutOfBoundsException。
0x33	baload	指定的boolean或byte型数组的指定下标处的值进栈
0x34	caload	指定的char型数组的指定下标处的值进栈
0x35	saload	指定的short型数组的指定下标处的值进栈
0x36	istore	将栈顶int型数值存入指定的局部变量
0x37	lstore	将栈顶long型数值存入指定的局部变量
0x38	fstore	将栈顶float型数值存入指定的局部变量
