参数名	                                默认值	                                说明
writeConcern	                        ACKNOWLEDGED	                        写入安全机制，是一种客户端设置，用于控制写入安全的级别:ACKNOWLEDGED  默认选项，数据写入到Primary就向客户端发送确认0 Unacknowledged 对客户端的写入不需要发送任何确认，适用于性能要求高，但不关注正确性的场景;1 W1 数据写入后，会等待集群中1台发送确认2 W2 数据写入后，会等待集群中两台台发送确认3 W3 数据写入后，会等待集群中3台台发送确认JOURNALED   确保所有数据提交到 journal file MAJORITY  等待集群中大多数服务器提交后确认；
codecRegistry	                        MongoClient.getDefaultCodecRegistry()	编解码类，实现Codec接口
minConnectionsPerHost	                最小连接数，                              connections-per-host
connectionsPerHost	                    100	                                    最大连接数
threadsAllowedToBlockForConnectionMultiplier	5	            此参数跟connectionsPerHost的乘机为一个线程变为可用的最大阻塞数，超过此乘机数之后的所有线程将及时获取一个异常
maxWaitTime	                            1000 * 60 * 2	                        一个线程等待链接可用的最大等待毫秒数，0表示不等待
maxConnectionIdleTime	                0	                                    设置池连接的最大空闲时间，0表示没有限制
maxConnectionLifeTime	                0	                                    设置池连接的最大使用时间，0表示没有限制
connectTimeout	                        1000*10	                                连接超时时间
alwaysUseMBeans	                        false	                                是否打开JMX监控
