
压测内容                                           压测线程数           吞吐量/s           90%响应时间          99%响应时间
nginx                                             50                  8927              8                    12
gateway                                           50                  3183              20                   31
简单服务                                           50                  14183             6                    18
首页一级菜单渲染+redis+分布式锁（单一服务）          50                 125                 334                359
首页一级菜单渲染）+redis+一级缓存（单一服务          50                 1628                 44                386
首页一级菜单渲染+redis+本地锁（单一服务）            50                 876                 63                76
首页一级菜单渲染+redis+不加锁（单一服务）            50                 1000                 71                156
首页一级菜单渲染（单一服务）                         50                 537                 153                244
三级菜单数据获取（单一服务）                         50                 187                 461                819
三级菜单数据获取+redis+一级缓存（单一服务）          50                 4734                 11                138
三级菜单数据获取+redis+不加锁（单一服务）            50                 428                 134                183
三级菜单数据获取+redis+分布式锁（单一服务）          50                 114                 433                1193
三级菜单数据获取+redis+本地锁+分布式锁（单一服务）    50                 325                 167                202
三级菜单数据获取+redis+本地锁（单一服务）            50                 480                 128                144
gateway+简单服务                                   50                1232               66                   107
全链路                                             50                 12                 15053                40539



中间件越多，性能损失越大，大多都损失在网络交互了


